9-Layer SendToString — Encode/Decode table (implemented set)
blend model: out = round((src*128 + dst*127)/255); bottom alpha 1

Layer legend (top -> bottom):
  L1 = R2 (top)
  L2 = G38
  L3 = G4
  L4 = B46
  L5 = B222
  L6 = B62
  L7 = R124
  L8 = G252
  L9 = B255 (bottom, alpha 1)

mask bits เรียง L9..L1 (ซ้าย = ชั้นล่างสุด); 1 = layer เปิด

mask(L9..L1)   layers ON                            R   G   B   hex
------------------------------------------------------------------------
011111010      L2+L4+L5+L6+L7+L8                    3  23  43   0x03172B
011111011      L1+L2+L4+L5+L6+L7+L8                 2  11  21   0x020B15
011111100      L3+L4+L5+L6+L7+L8                    3   5  43   0x03052B
011111101      L1+L3+L4+L5+L6+L7+L8                 2   2  21   0x020215
011111110      L2+L3+L4+L5+L6+L7+L8                 1  22  21   0x011615
011111111      L1+L2+L3+L4+L5+L6+L7+L8              2  11  10   0x020B0A
100000000      L9                                   0   0 255   0x0000FF
100000001      L1+L9                                1   0 127   0x01007F
100000010      L2+L9                                0  19 127   0x00137F
100000011      L1+L2+L9                             1   9  63   0x01093F
100000100      L3+L9                                0   2 127   0x00027F
100000101      L1+L3+L9                             1   1  63   0x01013F
100000110      L2+L3+L9                             0  20  63   0x00143F
100000111      L1+L2+L3+L9                          1  10  31   0x010A1F
100001000      L4+L9                                0   0 150   0x000096
100001001      L1+L4+L9                             1   0  75   0x01004B
100001010      L2+L4+L9                             0  19  75   0x00134B
100001011      L1+L2+L4+L9                          1   9  37   0x010925
100001100      L3+L4+L9                             0   2  75   0x00024B
100001101      L1+L3+L4+L9                          1   1  37   0x010125
100001110      L2+L3+L4+L9                          0  20  37   0x001425
100001111      L1+L2+L3+L4+L9                       1  10  18   0x010A12
100010000      L5+L9                                0   0 238   0x0000EE
100010001      L1+L5+L9                             1   0 119   0x010077
100010010      L2+L5+L9                             0  19 119   0x001377
100010011      L1+L2+L5+L9                          1   9  59   0x01093B
100010100      L3+L5+L9                             0   2 119   0x000277
100010101      L1+L3+L5+L9                          1   1  59   0x01013B
100010110      L2+L3+L5+L9                          0  20  59   0x00143B
100010111      L1+L2+L3+L5+L9                       1  10  29   0x010A1D
100011000      L4+L5+L9                             0   0 142   0x00008E
100011001      L1+L4+L5+L9                          1   0  71   0x010047
100011010      L2+L4+L5+L9                          0  19  71   0x001347
100011011      L1+L2+L4+L5+L9                       1   9  35   0x010923
100011100      L3+L4+L5+L9                          0   2  71   0x000247
100011101      L1+L3+L4+L5+L9                       1   1  35   0x010123
100011110      L2+L3+L4+L5+L9                       0  20  35   0x001423
100011111      L1+L2+L3+L4+L5+L9                    1  10  17   0x010A11
100100000      L6+L9                                0   0 158   0x00009E
100100001      L1+L6+L9                             1   0  79   0x01004F
100100010      L2+L6+L9                             0  19  79   0x00134F
100100011      L1+L2+L6+L9                          1   9  39   0x010927
100100100      L3+L6+L9                             0   2  79   0x00024F
100100101      L1+L3+L6+L9                          1   1  39   0x010127
100100110      L2+L3+L6+L9                          0  20  39   0x001427
100100111      L1+L2+L3+L6+L9                       1  10  19   0x010A13
100101000      L4+L6+L9                             0   0 102   0x000066
100101001      L1+L4+L6+L9                          1   0  51   0x010033
100101010      L2+L4+L6+L9                          0  19  51   0x001333
100101011      L1+L2+L4+L6+L9                       1   9  25   0x010919
100101100      L3+L4+L6+L9                          0   2  51   0x000233
100101101      L1+L3+L4+L6+L9                       1   1  25   0x010119
100101110      L2+L3+L4+L6+L9                       0  20  25   0x001419
100101111      L1+L2+L3+L4+L6+L9                    1  10  12   0x010A0C
100110000      L5+L6+L9                             0   0 190   0x0000BE
100110001      L1+L5+L6+L9                          1   0  95   0x01005F
100110010      L2+L5+L6+L9                          0  19  95   0x00135F
100110011      L1+L2+L5+L6+L9                       1   9  47   0x01092F
100110100      L3+L5+L6+L9                          0   2  95   0x00025F
100110101      L1+L3+L5+L6+L9                       1   1  47   0x01012F
100110110      L2+L3+L5+L6+L9                       0  20  47   0x00142F
100110111      L1+L2+L3+L5+L6+L9                    1  10  23   0x010A17
100111000      L4+L5+L6+L9                          0   0 118   0x000076
100111001      L1+L4+L5+L6+L9                       1   0  59   0x01003B
100111010      L2+L4+L5+L6+L9                       0  19  59   0x00133B
100111011      L1+L2+L4+L5+L6+L9                    1   9  29   0x01091D
100111100      L3+L4+L5+L6+L9                       0   2  59   0x00023B
100111101      L1+L3+L4+L5+L6+L9                    1   1  29   0x01011D
100111110      L2+L3+L4+L5+L6+L9                    0  20  29   0x00141D
100111111      L1+L2+L3+L4+L5+L6+L9                 1  10  14   0x010A0E
101000000      L7+L9                               62   0 127   0x3E007F
101000001      L1+L7+L9                            32   0  63   0x20003F
